城市名稱        x       y
北京    -2800   7690
臺灣    2040    -7200
拉薩    -28180  -2840
新疆烏魯木齊    -31900  11220
回疆    -34840  13130
碎葉    -44090  10270
馬邑    -7100   3180
居庸關  -3040   7970
盛京    3990    9250
赫圖阿拉        4280    9280
寧遠    3740    8840
靈州    -12660  5970
昆明    -16840  -7210
滇池    -17160  -8000
大理    -19130  -6890
杭州    840     -2070
嘉興    1190    -1770
福州    -80     -6180
泉州    -900    -7670
蘭州    -15750  3810
嘉峪關  -21120  7250
佛山    -6750   -9750
開封    -5050   2240
洛陽    -6990   2180
南陽    -6940   770
汝州    -6760   1860
武昌    -5090   -1880
衡陽    -6890   -5700
岳陽    -6200   -3010
蘇州    1110    -1040
揚州    0       0
宜興    230     -1020
內蒙古  -7850   8250
漢中    -12250  810
成都    -15220  -1830
高麗    7320    5100
定襄    -6310   6270
光明頂  -31960  4170
星宿海  -22710  1270
塘沽口  -2060   6900
神龍島  2340    6170
桃花島  -7130   -2770
百花谷  -8850   2250
俠客島  1090    -17100
桃源    -8190   -3930
黑沼    -9260   2270
平定州  -5880   5120
黑木崖  -5780   5190
伊犁    -32100  8890
永登    -16110  4200
高昌    -29870  10250
大漠    -37950  5770
長安    -10720  1930
中州    -9040   -1000
漢中    -12240  840
襄陽    -7820   -770
江陵    -7100   -2050
無錫    1040    -730
澎湖    160     -8780
日本    3740    -12230
延平    -1150   -4890
黃河    -119260 -32230
漠北    -119260 -32230
白駝山  -119260 -32230
冰火島  -119260 -32230
凌霄城  -119260 -32230

